source_dataset,source_vintage,source_file,country_id,country,indicator_id,indicator,scale,unit,year,rank,gdp_ppp_billions_intl_dollars
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,GBR,United Kingdom,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,2010,9,2270.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,ITA,Italy,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,2010,10,2110.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,CHN,"China, People's Republic of",PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,2020,1,24160.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,USA,United States,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,2020,2,20810.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,IND,India,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,2020,3,8680.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,JPN,Japan,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,2020,4,5240.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,DEU,Germany,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,2020,5,4450.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,RUS,Russian Federation,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,2020,6,4019.9999999999995
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,IDN,Indonesia,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,2020,7,3330.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,BRA,Brazil,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,2020,8,3080.0
